ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
inb,2,40,0.792447658,0.157871965,0.035336332,0.010171611,0.00405043,0.000112872,9.13e-06
ing,4,40,0,0,0,0,0,0,1
inh,1,40,0.840858755,0.125591773,0.024674569,0.006479987,0.002336223,5.47e-05,3.94e-06
inj,1,40,0.522409166,0.290647918,0.110441351,0.046382446,0.028310392,0.001598089,0.000210638
inn,2,40,0.599486239,0.261560614,0.086852724,0.033100774,0.018049998,0.000850904,9.87e-05
ino,1,40,0.946205488,0.046494313,0.005868001,0.001132591,0.00029556,3.86e-06,1.89e-07
inp,5,40,0,0,0,0,0,0,1
int,1,40,0.87549227,0.100977807,0.017754004,0.004313786,0.001431291,2.9e-05,1.89e-06
inz,6,40,0,0,0,0,0,0,1
ior,1,40,0.96342824,0.032238692,0.003556952,0.000625814,0.000148605,1.63e-06,7.12e-08
iou,1,40,0.737471634,0.191555966,0.048670555,0.01532425,0.006735265,0.000222179,2.02e-05
iow,6,40,0,0,0,0,0,0,1
ipi,1,40,0.974235962,0.023046702,0.002267021,0.000368659,8.09e-05,7.61e-07,3.03e-08
ipo,1,40,0.665957591,0.230531151,0.067705564,0.023632633,0.011658247,0.000466511,4.83e-05
iqu,4,40,0,0,0,0,0,0,1
ire,3,40,0.251684942,0.313378739,0.194097207,0.116516835,0.109853215,0.011921728,0.002547336
irh,2,40,0.525945833,0.289487951,0.109332914,0.045715444,0.027759866,0.001554309,0.000203683
iri,1,40,0.905502575,0.078583882,0.012301796,0.002756578,0.000839743,1.46e-05,8.6e-07
irk,1,40,0.979772047,0.01825266,0.001664328,0.000256971,5.35e-05,4.56e-07,1.7e-08
